YEAR,MO,DY,PRECTOTCORR,TS,WD10M,PS,WS10M
2021,1,1,0,24.77,196.19,100.52,2
2021,1,2,0,25.14,239.31,100.56,1.72
2021,1,3,0.18,22.93,226.75,100.5,2.28
2021,1,4,0.03,24.39,181.12,100.42,2.21
2021,1,5,0,23.44,231.62,100.58,2.41
2021,1,6,0,22.44,176.62,100.63,3.67
2021,1,7,0.34,24.84,140.94,100.34,1.76
2021,1,8,0.44,24.16,185.75,100.25,3.44
2021,1,9,1.17,24.42,57.38,100.34,3.2
2021,1,10,0.02,27.01,143.44,100.42,3.1
2021,1,11,0,28.18,97.12,100.51,3.62
2021,1,12,0,27.5,153.25,100.61,3.59
2021,1,13,0,25.5,144.5,100.56,2.98
2021,1,14,0,26.27,74.62,100.38,3.09
2021,1,15,0,25.72,203.69,100.34,3.3
2021,1,16,0,25.89,197.31,100.23,2.2
2021,1,17,0,26.13,207.62,100.31,2.77
2021,1,18,0,25.68,251.88,100.49,2.38
2021,1,19,0,24.27,216.81,100.51,2.12
2021,1,20,0,23.05,180.94,100.62,2.31
2021,1,21,0,23.21,197.44,100.58,1.8
2021,1,22,0,24.15,214.81,100.52,1.67
2021,1,23,0,24.51,169.69,100.49,2.3
2021,1,24,0,23.72,167.25,100.63,2.41
2021,1,25,0,22.44,184.38,100.69,2.91
2021,1,26,0,22.06,165.56,100.64,2.73
2021,1,27,0,22.48,178.25,100.62,3.24
2021,1,28,0,22.05,157.38,100.7,3.3
2021,1,29,0,22.48,130.25,100.76,3.21
2021,1,30,0,23.58,123.19,100.69,3.77
2021,1,31,0,24.3,167.94,100.71,3.15
2021,2,1,0,25.4,83.25,100.84,3.64
2021,2,2,0,26.46,169.56,100.8,2.77
2021,2,3,0,25.07,255.81,100.72,1.7
2021,2,4,0,24.6,270.62,100.75,2.34
2021,2,5,0,23.71,214.5,100.72,3.2
2021,2,6,0,23.59,49.62,100.7,3.91
2021,2,7,0,24.51,68.75,100.76,3.95
2021,2,8,0,25.02,72.19,100.76,3.92
2021,2,9,0,25.66,212.25,100.63,2.91
2021,2,10,0,24.73,181,100.52,1.9
2021,2,11,0,26.08,184.38,100.41,2.5
2021,2,12,0,26.48,209.44,100.45,2.34
2021,2,13,0,26.56,233.69,100.54,2.1
2021,2,14,0,26.65,254,100.57,2.21
2021,2,15,0,26.26,247.25,100.5,2.11
2021,2,16,0,26.19,274.94,100.47,2.48
2021,2,17,0,27.21,209.69,100.45,2.39
2021,2,18,0.54,28.74,147.31,100.49,2.96
2021,2,19,0.34,28.9,99.19,100.72,4.22
2021,2,20,0,27.97,89.5,100.78,3.72
2021,2,21,0,28.5,74.25,100.75,4.02
2021,2,22,0,29.99,215.75,100.71,2.95
2021,2,23,0,29.73,187.94,100.57,2.28
2021,2,24,0,29.38,231.12,100.47,2.04
2021,2,25,0,29.08,223.81,100.5,2.34
2021,2,26,0,28.79,258.19,100.39,2.92
2021,2,27,0,29.62,263.56,100.29,2.77
2021,2,28,0,30.39,230.94,100.3,2.28
2021,3,1,0,29.8,258.75,100.57,2.98
2021,3,2,0,29.47,200.31,100.64,3.04
2021,3,3,0,29.08,204.06,100.5,2.62
2021,3,4,0,29.15,172.44,100.47,2.7
2021,3,5,0,30.31,234.69,100.51,2.48
2021,3,6,0,30.72,241.19,100.52,2.6
2021,3,7,0,29.98,236.56,100.46,3.25
2021,3,8,0,30.65,246.31,100.47,2.18
2021,3,9,0,30.47,225,100.49,2.34
2021,3,10,0,30.65,234.69,100.51,2.42
2021,3,11,0,30.65,224,100.46,2.67
2021,3,12,0,30.22,254.19,100.61,2.44
2021,3,13,0,31.88,207.69,100.58,3.19
2021,3,14,0,31.92,240.62,100.38,2.6
2021,3,15,0,31.56,242.94,100.31,2.63
2021,3,16,0,31.27,225.69,100.35,2.76
2021,3,17,0,31.93,244.31,100.23,2.55
2021,3,18,0,31.89,224.06,100.23,2.77
2021,3,19,0,30.98,267.25,100.32,2.93
2021,3,20,0,30.86,232.94,100.16,2.77
2021,3,21,0.09,30.78,223.5,100.12,2.97
2021,3,22,0.01,32.25,272.56,100.31,2.42
2021,3,23,0.04,32.49,239.31,100.41,2.22
2021,3,24,0,32.37,235.25,100.46,2.3
2021,3,25,0,32.48,210.69,100.39,3.45
2021,3,26,0,32.85,130,100.28,3.3
2021,3,27,0,33.93,159.94,100.15,3.09
2021,3,28,0,34.34,208.38,100.09,2.22
2021,3,29,0,33.44,245.06,100.08,3.03
2021,3,30,0,31.81,233.62,100.04,3.81
2021,3,31,0,31.68,229.69,99.97,4.78
